ID,ISBN,Автор,В наличии,"Вес, г",Вид бумаги,Возраст,Возрастные ограничения,Герои,Год издания,Жанр,Издательство,Изображение,Иллюстратор,Иллюстрации,Категория,Количество страниц,Материал,Название,Назначение,Направление,Обложка,Описание,Оценка,Пол,Превью,Раздел,"Размер, см",Рисунок,Серия,Страна-производитель,Тематика,Тип,Упаковка,Формат,Цена,Цена (старая),Число отзывов,Число оценок,Эпоха,Язык
372400,978-5-699-67214-1,Пушкин Александр Сергеевич,False,117,,,16+,,2016,,Эксмо,https://www.respublica.ru/uploads/01/00/00/4h/dv/large_2ffe4cf3384ec107.jpg,,,Книги; Художественная литература; Классическая литература,224,,Пиковая дама,,,Мягкая,"Знаменитый шедевр А. Пушкина - ""Пиковая дама"" актуален и востребован и в наши дни. Ведь азарт, алчность, желание достичь своих целей любыми средствами неистребимы в человеке. Тема игры, талантливо подхваченная и осмысленная Ф. Достоевским в повести ""Игрок"", разработана великим Пушкиным как судьбоносная фатальность, а ставшее афоризмом выражение ""Тройка, семерка, туз"" - символом судьбы, которую невозможно обмануть.",,,https://www.respublica.ru/items/243028/download_preview_pdf,Отечественные,,,Pocket book,Россия,,,,11 х 18,200,,,,,Русский
372469,978-5-17-082797-8,Эрих Мария Ремарк,False,,,,,,2014,,АСТ,https://www.respublica.ru/uploads/01/00/00/1r/xv/large_2055919fb027ce5f.jpg,,,Книги; Художественная литература; Классическая литература,508,,От полудня до полуночи,,,Твердая,"""От полудня до полуночи"" - долгожданное переиздание сборника рассказов и эссе Э.М.Ремарка.Вы любите прозу Ремарка? Его романы о любви и дружбе? Его удивительные образы, его так тонко прописанные психологические портреты? Тогда вы несомненно будете очарованы его ранними рассказами и эссе, составившими этот сборник - ""От полудня до полуночи"". Далеко не все почитатели Ремарка знакомы с ранним периодом его творчества, и далеко не все знают, что помимо крупных романов, он замечательно владел мастерством написания коротких произведений. Погрузитесь в этот удивительный мир, где меланхолия соседствует с юмором, фантастика с реальностью, любовные драмы с приключенческими историями, а путевые очерки с философскими эссе.",,,,Зарубежные,,,Возвращение с Западного фронта,Россия,,,,13 х 20,380,,,,,Русский
372470,978-5-17-084242-1,Эрих Мария Ремарк,False,280,,,12+,,2014,,АСТ,https://www.respublica.ru/uploads/00/00/00/1r/xw/large_92a4c6b4df03224c.jpg,,,Книги; Художественная литература; Классическая литература,478,,Чёрный обелиск,,,Мягкая,"ЧЕРНЫЙ ОБЕЛИСК (1956 г.) - знаменитый роман Ремарка, во многом автобиографичный.Сложные годы после Первой мировой войны, провинциальный немецкий городок, герой работает в фирме по продаже надгробий... Но денег не хватает, в стране чудовищная инфляция, и он подрабатывает игрой на органе в часовне при больнице. Свою любовь он встречает именно там, в психиатрическом отделении...ЧЕРНЫЙ ОБЕЛИСК - с одной стороны, роман о великой силе любви, способной вылечить даже душевнобольного, с другой стороны - философские размышления о Боге, религии, смысле жизни, и наконец, с третьей - яркая историческая картина эпохи, где все заметнее заявляет о себе приближающийся фашизм.",4.9,,https://www.respublica.ru/items/243099/download_preview_pdf,Зарубежные,,,Эксклюзивная классика,Россия,,,,11 х 18,200,340,1,1,,Русский
372474,978-5-17-080674-4,Эрих Мария Ремарк,False,308,,,12+,,2016,,АСТ,https://www.respublica.ru/uploads/00/00/00/62/vq/large_5deda1171853bcab.jpg,,,Книги; Художественная литература; Классическая литература,411,,Чёрный обелиск,,,Твердая,,,,https://www.respublica.ru/items/243103/download_preview_pdf,Зарубежные,,,Зарубежная классика,Россия,,,,13 x 20,290,,,,,Русский
372476,978-5-17-085027-3,Стивен Кинг,False,,,,,,2014,,АСТ,https://www.respublica.ru/uploads/01/00/00/1r/xz/large_9e0c541327fc7058.jpg,,,Книги; Художественная литература; Фантастика и фэнтези,576,,Доктор Sleep,,Мистика,Твердая,,,,,Зарубежные,,,,Россия,,,,14 х 21,510,,,,,Русский
372946,978-5-699-71367-7,Артур Конан Дойл,False,,,,,,2014,,Издательский дом Мещерякова,https://www.respublica.ru/uploads/01/00/00/1r/t5/large_f9b1ccbce128e8a8.jpg,,,Книги; Художественная литература; Детективы,512,,17 рассказов,,,Твердая,,,,https://www.respublica.ru/items/243595/download_preview_pdf,,,,17 рассказов,Россия,,,,14 х 20,450,,,,,Русский
372952,978-5-699-73272-2,Лев Николаевич Толстой,False,,,,,,2014,,Эксмо,https://www.respublica.ru/uploads/00/00/00/1r/ta/large_5418e68c1fbc5485.jpg,,,Книги; Художественная литература; Классическая литература,640,,Севастопольские рассказы,,,Суперобложка,,,,https://www.respublica.ru/items/243589/download_preview_pdf,,,,Библиотека всемирной литературы,Россия,,,,13 х 21,340,,,,,Русский
372956,978-5-17-081478-7,Пауло Коэльо,False,257,,,18+,,2014,,АСТ,https://www.respublica.ru/uploads/00/00/00/1r/te/large_ba4c0823e983996a.jpg,,,Книги; Художественная литература; Современная проза,222,,Дьявол и сеньорита Прим,,,Твердая,"В маленьком горном селении Вискосе появляется незнакомец. В чемодане у него одиннадцать слитков золота. С их помощью он хочет получить ответ на мучающий его вопрос: люди по своей сути более склонны к злу или к добру? Селянам предстоит прожить неделю, полную драматических событий, оказаться перед лицом любви, смерти, власти, в душе каждого будет происходить борьба между Светом и Тьмой.",,,https://www.respublica.ru/items/243579/download_preview_pdf,Зарубежные,,,Лучшее от пауло коэльо,Россия,,,,13 х 20,370,,,,,Русский
372958,978-5-17-085463-9,Эрих Мария Ремарк,False,,,,,,2014,,АСТ,https://www.respublica.ru/uploads/00/00/00/1r/tg/large_6fc684e22565286e.jpg,,,Книги; Художественная литература; Классическая литература,464,,Время жить и время умирать,,,Мягкая,,,,,,,,,Россия,,,,10 х 16,140,,,,,Русский
372961,978-5-17-076503-4,Стивен Кинг,False,850,,,16+,,2014,,АСТ,https://www.respublica.ru/uploads/00/00/00/1r/ss/large_d9c030cac9f799e4.jpg,,,Книги; Художественная литература; Фантастика и фэнтези,1312,,Противостояние,,Мистика,Твердая,,,,https://www.respublica.ru/items/243591/download_preview_pdf,Зарубежные,,,Король на все времена,Россия,,,,13 х 20,570,,,,,Русский
373093,978-5-17-083992-6,Борис Акунин,False,,,,,,2014,,АСТ,https://www.respublica.ru/uploads/00/00/00/1r/gu/large_56a7b23bbd3cabbd.jpg,,,Книги; Художественная литература; Современная проза,288,,Самая таинственная тайна и другие сюжеты,,,Твердая,,,,,Отечественные,,,Любовь к истории,Россия,,,,16 х 24,560,,,,,Русский
373099,978-5-271-43535-5,Пушкин Александр Сергеевич,False,,,,,,2013,,Астрель,https://www.respublica.ru/uploads/01/00/00/1r/gx/large_2591a8adbce9a38b.jpg,,,Книги; Художественная литература; Поэзия,208,,Избранная лирика,,,Твердая,,,,,,,,,,,,,20 х 24,640,,,,,Русский
373100,978-5-17-047370-0,Пушкин Александр Сергеевич,False,,,,,,,,АСТ,https://www.respublica.ru/uploads/00/00/00/1r/h0/large_c8627f14eda575d6.jpg,,,Книги; Художественная литература; Поэзия,816,,Поэзия. Стихотворения. Поэмы. Сказки. Евгений Онегин,,,Твердая,,,,,,,,,Россия,,,,14 х 21,230,,,,,Русский
373101,978-5-17-048626-7,Пушкин Александр Сергеевич,False,,,,,,2008,,АСТ,https://www.respublica.ru/uploads/01/00/00/1r/h1/large_94728d2d4df3595c.jpg,,,Книги; Художественная литература; Классическая литература,768,,Драматургия. Проза. Критика и публицистика. Автобиографическое,,,Твердая,,,,https://www.respublica.ru/items/243732/download_preview_pdf,,,,Зфмк.пушкин,Россия,,,,15 х 21,580,,,,,Русский
373193,978-5-00087-003-7,Уильям Шекспир,False,,,,,,2014,,Центр книги Рудомино,https://www.respublica.ru/uploads/01/00/00/1r/f1/large_3c7dd8f4bb20cae1.jpg,,,Книги; Художественная литература; Поэзия,128,,Буря,,,Мягкая,,,,,,,,,,,,,17 х 26,960,,,,,Русский
373269,978-5-17-084621-4,Нил Гейман,False,,,12+,,,2014,Фантастика и фэнтези,АСТ,https://www.respublica.ru/uploads/01/00/00/28/m1/large_f730c67f48db2a57.jpg,Крис Ридделл,,Детям; Детские книги; Художественная литература,192,,Коралина,,,Суперобложка,"КОРАЛИНА - книга о девочке, которая вдруг обнаруживает за дверью другую квартиру в другом доме, точно такую же, как ее собственная. Там происходят удивительные вещи - живут другая мама и другой папа, которые хотят, чтобы Коралина осталась с ними и стала их маленькой дочкой, а еще там томятся в плену другие дети. Коралине надо проявить смелость и отвагу, чтобы вернуться в свой настоящий дом и спасти попавших в плен детей.",,,https://www.respublica.ru/items/243900/download_preview_pdf,Зарубежные,,,Гейман с иллюстрациями криса риддела,,,,,14 х 21,340,490,,,,Русский
373272,978-5-17-084704-4,Джон Рональд Толкин,True,317,,,0+,,2014,,АСТ,https://www.respublica.ru/uploads/00/00/00/1r/b4/large_bbaf58960bac4ed3.jpg,,,Книги; Художественная литература; Фантастика и фэнтези,416,,Сильмариллион,,Фэнтези,Твердая,,,,https://www.respublica.ru/items/243903/download_preview_pdf,Зарубежные,,,Толкин (кино!!),Россия,,,,13 х 20,440,,,,,Русский
